idx,mask_type,metric,region,method,value
20148,brush,ssim,full,bar,0.781825065612793
20148,brush,ssim,hole,baseline,0.5736618041992188
20148,brush,ssim,hole,repaint,0.662361204624176
20148,brush,ssim,hole,bar,0.6313020586967468
20148,brush,ssim,known,baseline,0.8356960415840149
20148,brush,ssim,known,repaint,0.8561434745788574
20148,brush,ssim,known,bar,0.8436785936355591
22609,center,ssim,full,baseline,0.856276273727417
22609,center,ssim,full,repaint,0.8750739097595215
22609,center,ssim,full,bar,0.8739023208618164
22609,center,ssim,hole,baseline,0.6338151693344116
22609,center,ssim,hole,repaint,0.7422271966934204
22609,center,ssim,hole,bar,0.7438061833381653
22609,center,ssim,known,baseline,0.8987483978271484
22609,center,ssim,known,repaint,0.9004369378089905
22609,center,ssim,known,bar,0.8987401127815247
22609,half,ssim,full,baseline,0.5286866426467896
22609,half,ssim,full,repaint,0.7698346376419067
22609,half,ssim,full,bar,0.7666986584663391
22609,half,ssim,hole,baseline,0.15387986600399017
22609,half,ssim,hole,repaint,0.6483482122421265
22609,half,ssim,hole,bar,0.6371458768844604
22609,half,ssim,known,baseline,0.9034935235977173
22609,half,ssim,known,repaint,0.891321063041687
22609,half,ssim,known,bar,0.8962514400482178
22609,brush,ssim,full,baseline,0.8458389043807983
22609,brush,ssim,full,repaint,0.8691727519035339
22609,brush,ssim,full,bar,0.8582876324653625
22609,brush,ssim,hole,baseline,0.6814473271369934
22609,brush,ssim,hole,repaint,0.7871987223625183
22609,brush,ssim,hole,bar,0.7422084212303162
22609,brush,ssim,known,baseline,0.8786985278129578
22609,brush,ssim,known,repaint,0.8855583071708679
22609,brush,ssim,known,bar,0.8814903497695923
22372,center,ssim,full,baseline,0.8239157795906067
22372,center,ssim,full,repaint,0.8507781028747559
22372,center,ssim,full,bar,0.8464231491088867
22372,center,ssim,hole,baseline,0.5991337299346924
22372,center,ssim,hole,repaint,0.6764621138572693
22372,center,ssim,hole,bar,0.6695213317871094
22372,center,ssim,known,baseline,0.8668310642242432
22372,center,ssim,known,repaint,0.8840584754943848
22372,center,ssim,known,bar,0.8801971673965454
22372,half,ssim,full,baseline,0.5432258248329163
22372,half,ssim,full,repaint,0.6051079034805298
22372,half,ssim,full,bar,0.6151752471923828
22372,half,ssim,hole,baseline,0.22278857231140137
22372,half,ssim,hole,repaint,0.3563331365585327
22372,half,ssim,hole,bar,0.36297672986984253
22372,half,ssim,known,baseline,0.8636630773544312
22372,half,ssim,known,repaint,0.8538826704025269
22372,half,ssim,known,bar,0.8673737645149231
22372,brush,ssim,full,baseline,0.7784378528594971
22372,brush,ssim,full,repaint,0.8058324456214905
22372,brush,ssim,full,bar,0.7973835468292236
22372,brush,ssim,hole,baseline,0.6479910016059875
22372,brush,ssim,hole,repaint,0.7215926647186279
22372,brush,ssim,hole,bar,0.6827157735824585
22372,brush,ssim,known,baseline,0.8325440883636475
22372,brush,ssim,known,repaint,0.8407731652259827
22372,brush,ssim,known,bar,0.8449451923370361
8852,center,ssim,full,baseline,0.8653342723846436
8852,center,ssim,full,repaint,0.8910757899284363
8852,center,ssim,full,bar,0.8733965158462524
8852,center,ssim,hole,baseline,0.6410622596740723
8852,center,ssim,hole,repaint,0.7466321587562561
8852,center,ssim,hole,bar,0.7199699878692627
8852,center,ssim,known,baseline,0.9081522226333618
